EdgeNum	OrgID	targetID	Obs_In	slope	r_sq	adj_r_sq	p_val	fdr_p_value	sumtomax	stm_rsqadj	Sub_Support
1	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;Other;Other"	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae sedis;Other"	FITS2taxa_FITS2taxa	0.874231061	0.593225267	0.585402676	9.84E-12	2.72E-09	6.084935897	3.562137759	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;Other;Other"
2	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae sedis;Other"	"k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala"	FITS2taxa_FITS2taxa	1.048871633	0.402961582	0.391480074	2.54E-07	7.00E-05	8.43452381	3.301948002	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae sedis;Other"
3	"k__Fungi;Other;Other;Other;Other;Other"	"k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Incertae sedis;g__Cryptococcus"	FITS2taxa_FITS2taxa	-0.823431556	-0.362235897	-0.349971203	1.48E-06	0.000408539	13.10847468	4.587588648	"k__Fungi;Other;Other;Other;Other;Other"
4	"k__Fungi;Other;Other;Other;Other;Other"	"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Incertae sedis;g__Tetracladium"	FITS2taxa_FITS2taxa	-1.383446556	-0.368646781	-0.356505373	1.13E-06	0.000311661	14.74610665	5.257066256	"k__Fungi;Other;Other;Other;Other;Other"
5	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae sedis;g__Xenobotryosphaeria"	"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Incertae sedis;g__Tetracladium"	Ftradtaxa_Ftradtaxa	0.64960357	0.283609836	0.27275544	2.95E-06	0.001290286	12.98496035	3.541718571	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae sedis;g__Xenobotryosphaeria"
6	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae sedis;g__Xenobotryosphaeria"	"k__Fungi;Other;Other;Other;Other;Other"	FITS2taxa_FITS2taxa	-0.20733525	-0.293113488	-0.279519517	2.36E-05	0.006526478	15.55371901	4.347568017	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae sedis;g__Xenobotryosphaeria"
7	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae sedis;g__Xenobotryosphaeria"	"k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales;f__Protomycetaceae;g__Protomyces"	FITS2taxa_FITS2taxa	0.447389123	0.514787451	0.50545644	1.03E-09	2.84E-07	6.989795918	3.533037362	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae sedis;g__Xenobotryosphaeria"
8	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae sedis;g__Xenobotryosphaeria"	"k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Incertae sedis;g__Dioszegia"	FITS2taxa_FITS2taxa	0.213650006	0.360325756	0.348024328	1.60E-06	0.000442637	12.37012987	4.305106133	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae sedis;g__Xenobotryosphaeria"
9	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;Other;Other"	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;Other;Other"	FITS2taxa_FITS2taxa	1.00035679	0.68437669	0.678307011	1.26E-14	3.47E-12	5.734507235	3.88975646	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;Other;Other"
10	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;Other;Other"	"k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Incertae sedis;g__Tetracladium"	Ftradtaxa_Ftradtaxa	0.512499918	0.286688812	0.275881067	2.54E-06	0.001113831	12.32481884	3.400184173	"k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;Other;Other"
