EdgeNum	OrgID	targetID	tub_support	Obs_In	slope	r_sq	adj_r_sq	p_val	fdr_p_value	sumtomax	stm_rsqadj	Sub_Support
1	Epi_Species_877	Epi_Species_616	Y	OtradEpi_OtradEpi	-0.260945435	-0.352463396	-0.327558142	0.000867121	0.04509029	12.32542365	4.037292868	Epi_Species_877
2	Endo_Species_877	Endo_Species_616	Y	OtradEndo_OtradEndo	-0.397165027	-0.405855348	-0.385367601	0.000116312	0.004303542	14.60615657	5.628739518	Endo_Species_877
3	Epi_Species_1075	Epi_Species_877	Y	FITS2Epi_OtradEpi	-0.462793608	-0.318806604	-0.292606858	0.001747317	0.938309443	11.64256429	3.406694158	Epi_Species_1075
4	Epi_Species_2055	Epi_Species_877	Y	FITS2Epi_OtradEpi	-0.350961621	-0.291668301	-0.264424774	0.003012102	1	12.42641522	3.285852036	Epi_Species_2055
5	Epi_Species_1991	Endo_Species_877	Y	FITS2Epi_OtradEndo	-0.690998476	-0.601866597	-0.585941261	1.99E-06	0.001073316	10.76136501	6.305527789	Epi_Species_1991
6	Epi_Species_920	Endo_Species_877	Y	FITS2Epi_OtradEndo	-0.392701844	-0.293268342	-0.264999076	0.003530389	1	11.7032541	3.101351519	Epi_Species_920
7	Epi_Species_12424	Epi_Species_877	Y	BacV5Epi_OtradEpi	-0.603791797	-0.34579639	-0.319628245	0.001256141	1	11.42895	3.653015236	Epi_Species_12424
8	Epi_Species_6764	Epi_Species_877	Y	BacV5Epi_OtradEpi	-0.493658143	-0.335187084	-0.308594567	0.001555979	1	11.3727	3.509553437	Epi_Species_6764
9	Epi_Species_10406	Epi_Species_877	Y	BacV5Epi_OtradEpi	-0.491119707	-0.347396254	-0.321292104	0.001215933	1	11.05395	3.551546857	Epi_Species_10406
10	Epi_Species_1725	Endo_Species_877	Y	FITS2Epi_OtradEndo	-0.637175881	-0.348026465	-0.321947523	0.001200427	0.647030382	11.14109698	3.586848579	Epi_Species_1725
11	Epi_Species_758	Epi_Species_877	Y	BacV5Epi_OtradEpi	-0.479593288	-0.305474332	-0.277693305	0.00279257	1	12.59088182	3.496403585	Epi_Species_758
12	Epi_Species_1065	Endo_Species_877	Y	BacV5Epi_OtradEndo	-0.852316891	-0.363184077	-0.336650081	0.00112125	1	10.66914719	3.591769259	Epi_Species_1065
13	Epi_Species_863	Endo_Species_877	Y	FITS2Epi_OtradEndo	-0.415856663	-0.359975005	-0.334374006	0.000939264	0.506263491	12.9685	4.336329291	Epi_Species_863
14	Epi_Species_135	Epi_Species_1531	Y	FITS2Epi_FITS2Epi	0.491802572	0.478107464	0.459468445	2.32E-05	0.012525661	6.896346954	3.16865381	Epi_Species_135
15	Epi_Species_686	Epi_Species_135	Y	BacV5Epi_FITS2Epi	-0.717370036	-0.548222396	-0.531489892	4.39E-06	0.007237411	6.4400922	3.422843907	Epi_Species_686
16	Epi_Species_888	Epi_Species_135	Y	BacV5Epi_FITS2Epi	-0.840566077	-0.488776444	-0.469842238	2.45E-05	0.040397931	6.73254718	3.163235034	Epi_Species_888
17	Epi_Species_615	Endo_Species_877	Y	FITS2Epi_OtradEndo	-0.329750397	-0.30928311	-0.281654434	0.002593836	1	12.24475	3.448788132	Epi_Species_615
18	Epi_Species_5943	Epi_Species_11435	Y	BacV5Epi_BacV5Epi	-0.748781318	-0.551422704	-0.53480873	3.98E-06	0.006558134	5.942622951	3.178166633	Epi_Species_5943
19	Epi_Species_1579	Epi_Species_4587	Y	BacV5Epi_BacV5Epi	0.875434311	0.463443486	0.443571023	4.82E-05	0.079440379	7.55	3.348961221	Epi_Species_1579
20	Epi_Species_11524	Epi_Species_4587	Y	BacV5Epi_BacV5Epi	1.210498543	0.502852207	0.484439325	1.66E-05	0.027368154	6.466666667	3.132707637	Epi_Species_11524
21	Epi_Species_12996	Epi_Species_4587	Y	BacV5Epi_BacV5Epi	0.724400809	0.574184582	0.55841364	1.94E-06	0.003188927	7.161111111	3.998862125	Epi_Species_12996
22	Epi_Species_6746	Epi_Species_7566	Y	BacV5Epi_BacV5Epi	0.367041105	0.620743891	0.606697369	3.91E-07	0.000645042	5.171478873	3.137522625	Epi_Species_6746
23	Epi_Species_3837	Epi_Species_135	Y	BacV5Epi_FITS2Epi	0.618940441	0.4598066	0.439799438	5.30E-05	0.087325457	8.650060386	3.804291693	Epi_Species_3837
24	Epi_Species_17261	Epi_Species_5943	Y	BacV5Epi_BacV5Epi	1.43366117	0.645746106	0.632625591	1.53E-07	0.000252365	5.516680228	3.48999309	Epi_Species_17261
25	Epi_Species_5943	Epi_Species_1951	Y	BacV5Epi_FITS2Epi	0.772709344	0.572614322	0.556785223	2.04E-06	0.003355489	6.019607843	3.351628695	Epi_Species_5943
26	Epi_Species_5943	Epi_Species_2803	Y	BacV5Epi_FITS2Epi	-0.520992023	-0.55591899	-0.539471545	3.46E-06	0.005703596	7.227272727	3.898907986	Epi_Species_5943
27	Epi_Species_5943	Epi_Species_382	Y	BacV5Epi_FITS2Epi	0.418070885	0.730751147	0.720778967	3.57E-09	5.88E-06	6.201731025	4.470077282	Epi_Species_5943
28	Epi_Species_8795	Epi_Species_5943	Y	BacV5Epi_BacV5Epi	1.287745929	0.601554311	0.586797064	7.73E-07	0.001273794	6.773596939	3.974726795	Epi_Species_8795
