"SUID","AverageShortestPathLength","BetweennessCentrality","class","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","Eigenvector","EndoEpi","family","FromWhich","genus","IsSingleNode","kingdom","max_abund","name","NeighborhoodConnectivity","num_obs","NumberOfDirectedEdges","NumberOfUndirectedEdges","order","PartnerOfMultiEdgedNodePairs","phyla","Radiality","selected","SelfLoops","shared name","Stress","sum_abund","TopologicalCoefficient","type"
"7665","2.45544554","0.00304492","c__Alphaproteobacteria","0.40725806","0.69365722","39","6","0.0687718391418457","Epi","NA","BacV5Epi","NA","false","k__Bacteria","8","Epi_Species_16840","60.28205128","19","39","0","NA","0","p__Proteobacteria","0.83828383","false","0","Epi_Species_16840","6266","60","0.31895265","Organism"
"8184","3.01320132","0.0","c__Alphaproteobacteria","0.33187295","1.0","2","6","0.00317081855610013","Epi","f__Rhodospirillaceae","BacV5Epi","g__","false","k__Bacteria","23","Epi_Species_6423","70.0","11","2","0","o__Rhodospirillales","0","p__Proteobacteria","0.77631096","false","0","Epi_Species_6423","0","76","0.71428571","Organism"
"7674","2.330033","0.00436203","c__Alphaproteobacteria","0.42917847","0.81649245","42","6","0.08764837682247162","Epi","f__Caulobacteraceae","BacV5Epi","g__Mycoplana","false","k__Bacteria","47","Epi_Species_11279","74.11904762","19","42","0","o__Caulobacterales","0","p__Proteobacteria","0.85221856","false","0","Epi_Species_11279","9988","305","0.34797675","Organism"
"8187","2.95049505","1.79E-6","c__vadinHA49","0.33892617","0.83333333","4","7","0.00828581489622593","Epi","f__","BacV5Epi","g__","false","k__Bacteria","85","Epi_Species_15656","74.25","13","4","0","o__DH61","0","p__Planctomycetes","0.78327833","false","0","Epi_Species_15656","14","273","0.66891892","Organism"
"8707","3.78877888","0.0","c__Bacilli","0.26393728","0.0","1","7","1.6543170204386115E-4","Epi","f__Thermoactinomycetaceae","BacV5Epi","g__Thermoactinomyces","false","k__Bacteria","17","Epi_Species_224","12.0","19","1","0","o__Bacillales","0","p__Firmicutes","0.69013568","false","0","Epi_Species_224","0","88","0.0","Organism"
"7684","2.28712871","0.00568621","c__Betaproteobacteria","0.43722944","0.65199161","54","5","0.09803710132837296","Epi","f__Comamonadaceae","BacV5Epi","NA","false","k__Bacteria","18","Epi_Species_890","63.40740741","18","54","0","o__Burkholderiales","0","p__Proteobacteria","0.8569857","false","0","Epi_Species_890","11584","101","0.30780295","Organism"
"8197","2.95379538","3.303E-5","c__Alphaproteobacteria","0.33854749","0.83333333","4","6","0.005299733020365238","Epi","NA","BacV5Epi","NA","false","k__Bacteria","146","Epi_Species_8584","56.0","20","4","0","o__Rhizobiales","0","p__Proteobacteria","0.78291162","false","0","Epi_Species_8584","84","352","0.50909091","Organism"
"7687","2.44554455","1.5328E-4","c__Alphaproteobacteria","0.40890688","0.90574713","30","6","0.06810988485813141","Epi","f__Rhodobacteraceae","BacV5Epi","NA","false","k__Bacteria","36","Epi_Species_2171","82.33333333","13","30","0","o__Rhodobacterales","0","p__Proteobacteria","0.83938394","false","0","Epi_Species_2171","690","114","0.42659758","Organism"
"7177","3.54455446","0.0521933","c__Oomycetes","0.28212291","0.0","9","7","2.537952968850732E-4","Epi","f__Albuginaceae","OtradEpi","g__Albugo","false","k__Chromalveolata","10000","Epi_Species_877","1.77777778","27","9","0","o__Albuginales","0","p__Stramenopiles","0.71727173","false","0","Epi_Species_877","43384","201137","0.11111111","Organism"
"7178","4.54125413","0.0","c__Oomycetes","0.22020349","0.0","1","8","4.4131256800028495E-6","Epi","f__Peronosporaceae","OtradEpi","g__Hyaloperonospora","false","k__Chromalveolata","9940","Epi_Species_616","9.0","21","1","0","o__Peronosporales","0","p__Stramenopiles","0.60652732","false","0","Epi_Species_616","0","34978","0.0","Organism"
"7690","2.25412541","0.00271017","NA","0.44363104","0.69674185","57","6","0.1065155416727066","Epi","NA","BacV5Epi","NA","false","k__Bacteria","9","Epi_Species_2706","64.24561404","15","57","0","NA","0","p__Proteobacteria","0.86065273","false","0","Epi_Species_2706","7508","66","0.30304535","Organism"
"7180","2.38943894","0.07633499","c__Oomycetes","0.41850829","0.19013062","53","6","0.04955141246318817","Endo","f__Albuginaceae","OtradEndo","g__Albugo","false","k__Chromalveolata","1000","Endo_Species_877","31.86792453","30","53","0","o__Albuginales","0","p__Stramenopiles","0.8456179","false","0","Endo_Species_877","107600","23182","0.17406179","Organism"
"8204","2.89438944","4.228E-5","c__Agaricomycetes","0.34549601","0.83333333","4","6","0.005439252592623234","Epi","f__Bondarzewiaceae","FITS2Epi","g__Heterobasidion","false","k__Fungi","66","Epi_Species_1325","51.0","11","4","0","o__Russulales","0","p__Basidiomycota","0.78951228","false","0","Epi_Species_1325","134","262","0.46363636","Organism"
"7181","3.38613861","0.0","c__Oomycetes","0.29532164","0.0","1","7","8.616405539214611E-4","Endo","f__Peronosporaceae","OtradEndo","g__Hyaloperonospora","false","k__Chromalveolata","989","Endo_Species_616","53.0","11","1","0","o__Peronosporales","0","p__Stramenopiles","0.73487349","false","0","Endo_Species_616","0","4968","0.0","Organism"
"7183","4.54125413","0.0","c__Agaricomycetes","0.22020349","0.0","1","8","4.4131256800028495E-6","Epi","f__Meruliaceae","FITS2Epi","g__Bjerkandera","false","k__Fungi","70","Epi_Species_1075","9.0","11","1","0","o__Polyporales","0","p__Basidiomycota","0.60652732","false","0","Epi_Species_1075","0","152","0.0","Organism"
"7696","2.33663366","0.00143","c__Alphaproteobacteria","0.4279661","0.8012685","44","6","0.08887011557817459","Epi","f__Aurantimonadaceae","BacV5Epi","g__","false","k__Bacteria","26","Epi_Species_3569","70.72727273","17","44","0","o__Rhizobiales","0","p__Proteobacteria","0.85148515","false","0","Epi_Species_3569","4484","116","0.34670232","Organism"
"9744","2.6039604","0.00966455","c__Betaproteobacteria","0.38403042","0.58333333","9","6","0.015087852254509926","Endo","NA","BacV5Endo","NA","false","k__Bacteria","179","Endo_Species_9773","71.33333333","18","9","0","NA","0","p__Proteobacteria","0.82178218","false","0","Endo_Species_9773","10634","986","0.41343669","Organism"
"7185","4.54125413","0.0","c__Agaricomycetes","0.22020349","0.0","1","8","4.4131256800028495E-6","Epi","f__Polyporaceae","FITS2Epi","g__Trametes","false","k__Fungi","23","Epi_Species_2055","9.0","16","1","0","o__Polyporales","0","p__Basidiomycota","0.60652732","false","0","Epi_Species_2055","0","86","0.0","Organism"
"7187","3.38613861","0.0","c__Dothideomycetes","0.29532164","0.0","1","7","8.616405539214611E-4","Epi","f__Phaeosphaeriaceae","FITS2Epi","g__Phaeosphaeria","false","k__Fungi","39","Epi_Species_1991","53.0","18","1","0","o__Pleosporales","0","p__Ascomycota","0.73487349","false","0","Epi_Species_1991","0","174","0.0","Organism"
"7189","3.38613861","0.0","c__Dothideomycetes","0.29532164","0.0","1","7","8.616405539214611E-4","Epi","NA","FITS2Epi","NA","false","k__Fungi","54","Epi_Species_920","53.0","16","1","0","o__Pleosporales","0","p__Ascomycota","0.73487349","false","0","Epi_Species_920","0","143","0.0","Organism"
"7701","2.38283828","0.0013641","c__Gammaproteobacteria","0.41966759","0.81533101","42","6","0.0857340395450592","Epi","f__Enterobacteriaceae","BacV5Epi","g__Buchnera","false","k__Bacteria","11","Epi_Species_10357","72.07142857","16","42","0","o__Enterobacteriales","0","p__Proteobacteria","0.8463513","false","0","Epi_Species_10357","3062","67","0.37150221","Organism"
"9750","3.60066007","0.0","c__Chlamydiia","0.27772686","0.0","1","7","2.623579930514097E-4","Epi","NA","BacV5Epi","NA","false","k__Bacteria","18","Epi_Species_8758","9.0","19","1","0","o__Chlamydiales","0","p__Chlamydiae","0.71103777","false","0","Epi_Species_8758","0","99","0.0","Organism"
"7191","4.54125413","0.0","c__Chloroflexi","0.22020349","0.0","1","8","4.4131256800028495E-6","Epi","f__FFCH7168","BacV5Epi","g__","false","k__Bacteria","144","Epi_Species_12424","9.0","11","1","0","o__Chloroflexales","0","p__Chloroflexi","0.60652732","false","0","Epi_Species_12424","0","333","0.0","Organism"
"7703","2.61056106","1.16E-6","c__Gammaproteobacteria","0.38305942","0.98181818","11","6","0.026632152497768402","Epi","f__Alteromonadaceae","BacV5Epi","NA","false","k__Bacteria","858","Epi_Species_16870","91.72727273","13","11","0","o__Alteromonadales","0","p__Proteobacteria","0.82104877","false","0","Epi_Species_16870","16","1744","0.5332981","Organism"
"10264","3.86468647","0.0","c__Actinobacteria","0.2587532","0.0","1","7","1.1518071551108733E-4","Epi","NA","BacV5Epi","NA","false","k__Bacteria","20","Epi_Species_7178","10.0","12","1","0","o__Actinomycetales","0","p__Actinobacteria","0.6817015","false","0","Epi_Species_7178","0","94","0.0","Organism"
"7193","4.54125413","0.0","c__Betaproteobacteria","0.22020349","0.0","1","8","4.4131256800028495E-6","Epi","f__Comamonadaceae","BacV5Epi","g__Limnobacter","false","k__Bacteria","85","Epi_Species_6764","9.0","13","1","0","o__Burkholderiales","0","p__Proteobacteria","0.60652732","false","0","Epi_Species_6764","0","187","0.0","Organism"
