OTU	F.FITS2.33	F.FITS2.42	F.FITS2.38	F.FITS2.18	F.FITS2.10	A.FITS2.41	E.FITS2.10	F.FITS2.20	E.FITS2.41	E.FITS2.45	F.FITS2.1	E.FITS2.21	D.FITS2.24	A.FITS2.34	C.FITS2.17	A.FITS2.43	A.FITS2.37	A.FITS2.42	A.FITS2.35	D.FITS2.1	E.FITS2.16	E.FITS2.47	E.FITS2.1	E.FITS2.11	E.FITS2.5	E.FITS2.13	E.FITS2.15	E.FITS2.14	E.FITS2.3	E.FITS2.44	E.FITS2.7	E.FITS2.8	E.FITS2.9	E.FITS2.6	E.FITS2.17	E.FITS2.4	E.FITS2.43	D.FITS2.9	D.FITS2.5	F.FITS2.4	F.FITS2.19	C.FITS2.47	F.FITS2.13	D.FITS2.14	D.FITS2.42	D.FITS2.47	E.FITS2.42	D.FITS2.45	F.FITS2.43	F.FITS2.45	F.FITS2.41	F.FITS2.47	F.FITS2.46	D.FITS2.50	D.FITS2.8	D.FITS2.7	E.FITS2.46	D.FITS2.13	F.FITS2.9	F.FITS2.8	F.FITS2.16	F.FITS2.17	F.FITS2.5	F.FITS2.15	F.FITS2.48	F.FITS2.2	F.FITS2.7	F.FITS2.6	F.FITS2.11	F.FITS2.3	C.FITS2.46	C.FITS2.4	C.FITS2.6	B.FITS2.42	C.FITS2.13	A.FITS2.39	E.FITS2.19	A.FITS2.36	A.FITS2.33	D.FITS2.46	F.FITS2.14	B.FITS2.50	D.FITS2.6	B.FITS2.49	D.FITS2.12	B.FITS2.13	D.FITS2.48	C.FITS2.14	C.FITS2.48	E.FITS2.12	E.FITS2.18	E.FITS2.2	D.FITS2.41	C.FITS2.3	C.FITS2.1	C.FITS2.43	C.FITS2.45	C.FITS2.42	C.FITS2.9	C.FITS2.50	C.FITS2.5	B.FITS2.20	C.FITS2.10	C.FITS2.7	C.FITS2.44	C.FITS2.11	C.FITS2.12	B.FITS2.6	D.FITS2.19	D.FITS2.15	D.FITS2.18	C.FITS2.2	A.FITS2.38	C.FITS2.31	D.FITS2.2	C.FITS2.16	C.FITS2.18	C.FITS2.49	C.FITS2.24	F.FITS2.37	D.FITS2.49	D.FITS2.44	D.FITS2.4	D.FITS2.10	D.FITS2.16	D.FITS2.43	B.FITS2.12	D.FITS2.11	B.FITS2.4	B.FITS2.34	B.FITS2.9	C.FITS2.41	B.FITS2.14	E.FITS2.48	A.FITS2.40	B.FITS2.40	F.FITS2.30	F.FITS2.29	F.FITS2.25	F.FITS2.23	F.FITS2.24	E.FITS2.30	D.FITS2.17	B.FITS2.16	F.FITS2.44	F.FITS2.35	F.FITS2.34	F.FITS2.21	F.FITS2.22	F.FITS2.36	F.FITS2.28	F.FITS2.40	F.FITS2.31	E.FITS2.26	D.FITS2.3	C.FITS2.26	C.FITS2.21	F.FITS2.27	F.FITS2.12	F.FITS2.32	B.FITS2.36	B.FITS2.2	C.FITS2.20	D.FITS2.20	B.FITS2.47	C.FITS2.15	B.FITS2.1	D.FITS2.39	E.FITS2.38	B.FITS2.21	B.FITS2.10	D.FITS2.32	F.FITS2.26	E.FITS2.25	E.FITS2.32	B.FITS2.11	B.FITS2.5	E.FITS2.20	F.FITS2.39	B.FITS2.35	B.FITS2.45	D.FITS2.26	C.FITS2.19	B.FITS2.44	D.FITS2.40	B.FITS2.8	B.FITS2.15	B.FITS2.7	B.FITS2.46	B.FITS2.48	B.FITS2.18	E.FITS2.28	E.FITS2.34	D.FITS2.37	E.FITS2.27	E.FITS2.29	E.FITS2.35	E.FITS2.33	E.FITS2.24	E.FITS2.36	C.FITS2.25	D.FITS2.38	C.FITS2.33	B.FITS2.41	C.FITS2.23	B.FITS2.3	B.FITS2.27	B.FITS2.28	B.FITS2.33	B.FITS2.26	B.FITS2.39	B.FITS2.19	B.FITS2.17	C.FITS2.8	B.FITS2.43	taxonomy
denovo35286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__unidentified; g__unidentified; s__Tremellales sp TG05"
denovo133706	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Incertae sedis; g__Dioszegia; s__Dioszegia buhagiarii"
denovo147348	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	3	0	0	0	0	0	2	5	4	1	7	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi
denovo119181	0	0	0	0	9	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	71	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	38	11	0	0	21	7	0	62	9	7	65	10	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi
denovo116541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Sporidiobolales; f__Incertae sedis; g__Sporobolomyces; s__Sporobolomyces ruberrimus"
denovo76990	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Cystofilobasidiales; f__Cystofilobasidiaceae; g__Udeniomyces; s__Udeniomyces pannonicus"
denovo21195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi
denovo61312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Incertae sedis; g__Dioszegia; s__Dioszegia hungarica"
denovo1075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi
denovo1076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi
