OTU	D.Otrad.45	D.Otrad.48	D.Otrad.49	D.Otrad.42	D.Otrad.2	D.Otrad.16	D.Otrad.32	D.Otrad.1	D.Otrad.43	D.Otrad.23	D.Otrad.37	D.Otrad.12	D.Otrad.25	D.Otrad.33	D.Otrad.15	D.Otrad.13	D.Otrad.9	D.Otrad.31	D.Otrad.29	D.Otrad.26	D.Otrad.50	D.Otrad.14	D.Otrad.8	D.Otrad.10	D.Otrad.3	D.Otrad.44	D.Otrad.17	D.Otrad.7	D.Otrad.40	D.Otrad.28	D.Otrad.4	D.Otrad.24	D.Otrad.5	D.Otrad.22	D.Otrad.21	D.Otrad.47	D.Otrad.11	D.Otrad.46	D.Otrad.27	D.Otrad.38	D.Otrad.39	D.Otrad.19	D.Otrad.20	D.Otrad.30	D.Otrad.41	D.Otrad.6	C.Otrad.50	C.Otrad.8	C.Otrad.47	E.Otrad.11	C.Otrad.48	C.Otrad.3	C.Otrad.25	C.Otrad.27	C.Otrad.28	C.Otrad.21	E.Otrad.44	C.Otrad.49	C.Otrad.17	E.Otrad.18	B.Otrad.32	E.Otrad.2	E.Otrad.4	C.Otrad.31	F.Otrad.21	F.Otrad.38	F.Otrad.34	F.Otrad.6	F.Otrad.45	F.Otrad.27	F.Otrad.5	F.Otrad.8	F.Otrad.15	F.Otrad.22	F.Otrad.28	F.Otrad.36	F.Otrad.37	F.Otrad.31	F.Otrad.25	F.Otrad.44	F.Otrad.32	F.Otrad.3	F.Otrad.33	F.Otrad.40	F.Otrad.24	F.Otrad.14	F.Otrad.29	F.Otrad.47	C.Otrad.34	E.Otrad.28	B.Otrad.20	A.Otrad.42	E.Otrad.27	A.Otrad.38	A.Otrad.35	A.Otrad.34	C.Otrad.35	C.Otrad.23	C.Otrad.37	C.Otrad.4	C.Otrad.32	C.Otrad.36	E.Otrad.19	E.Otrad.31	E.Otrad.17	E.Otrad.23	C.Otrad.7	C.Otrad.26	A.Otrad.43	A.Otrad.41	A.Otrad.33	E.Otrad.42	E.Otrad.32	E.Otrad.26	E.Otrad.1	E.Otrad.20	E.Otrad.21	E.Otrad.3	E.Otrad.25	E.Otrad.30	E.Otrad.7	C.Otrad.29	C.Otrad.2	C.Otrad.38	A.Otrad.39	B.Otrad.7	B.Otrad.17	E.Otrad.41	E.Otrad.38	A.Otrad.40	C.Otrad.14	F.Otrad.35	F.Otrad.41	F.Otrad.42	F.Otrad.39	E.Otrad.29	F.Otrad.43	F.Otrad.2	F.Otrad.7	C.Otrad.45	C.Otrad.30	C.Otrad.1	C.Otrad.44	C.Otrad.13	C.Otrad.5	C.Otrad.39	C.Otrad.9	C.Otrad.33	C.Otrad.40	C.Otrad.12	C.Otrad.24	C.Otrad.6	C.Otrad.41	C.Otrad.10	C.Otrad.11	A.Otrad.37	B.Otrad.38	B.Otrad.25	F.Otrad.20	E.Otrad.39	B.Otrad.37	B.Otrad.11	B.Otrad.14	B.Otrad.34	B.Otrad.9	B.Otrad.35	B.Otrad.8	B.Otrad.42	B.Otrad.12	B.Otrad.33	B.Otrad.39	B.Otrad.40	B.Otrad.16	B.Otrad.4	B.Otrad.15	B.Otrad.36	B.Otrad.1	B.Otrad.3	B.Otrad.2	B.Otrad.10	B.Otrad.50	B.Otrad.26	B.Otrad.13	B.Otrad.29	B.Otrad.19	E.Otrad.5	E.Otrad.6	F.Otrad.46	F.Otrad.11	F.Otrad.1	E.Otrad.47	E.Otrad.22	E.Otrad.46	F.Otrad.19	E.Otrad.24	E.Otrad.15	A.Otrad.36	C.Otrad.20	E.Otrad.48	B.Otrad.21	B.Otrad.18	B.Otrad.6	B.Otrad.5	B.Otrad.41	B.Otrad.30	E.Otrad.36	E.Otrad.45	E.Otrad.35	E.Otrad.43	E.Otrad.16	B.Otrad.31	B.Otrad.28	F.Otrad.48	E.Otrad.10	C.Otrad.42	F.Otrad.13	E.Otrad.8	C.Otrad.18	F.Otrad.26	E.Otrad.37	C.Otrad.43	C.Otrad.46	F.Otrad.9	E.Otrad.9	E.Otrad.14	C.Otrad.22	B.Otrad.27	E.Otrad.34	F.Otrad.4	C.Otrad.16	C.Otrad.15	C.Otrad.19	E.Otrad.13	F.Otrad.16	E.Otrad.40	F.Otrad.18	F.Otrad.17	F.Otrad.30	F.Otrad.10	E.Otrad.33	taxonomy
denovo84067	1291	1877	1816	329	1517	1708	1913	1287	278	1913	630	1860	1820	1462	1789	1942	898	1233	517	353	216	1614	343	644	1463	266	1085	224	29	1213	187	975	19	248	463	133	105	13	1083	4	4	405	272	62	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Peronosporales; f__Peronosporaceae; g__Hyaloperonospora; s__Hyaloperonospora praecox"
denovo68899	3	0	1	10	1	1	0	1	6	0	9	0	0	1	2	0	8	2	0	2	11	5	11	9	2	16	5	12	22	2	5	5	9	10	4	11	10	13	1	15	17	5	1	0	19	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Albuginales; f__Albuginaceae; g__Albugo; s__Albugo hohenheimia/leimonios"
denovo35429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	652	98	116	307	36	150	44	141	56	27	216	8	2	80	91	2	4	3	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Pythiales; f__Pythiaceae; g__Pythium; s__Pythium sp. B65"
denovo63983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Albuginales; f__Albuginaceae; g__Albugo; s__Albugo hohenheimia/leimonios"
denovo12510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Peronosporales; f__Peronosporaceae; g__Hyaloperonospora; s__Hyaloperonospora praecox"
denovo67555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Peronosporales; f__Peronosporaceae; g__Hyaloperonospora; s__Hyaloperonospora praecox"
denovo45746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Peronosporales; f__Peronosporaceae; g__Hyaloperonospora; s__Hyaloperonospora praecox"
denovo12892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Albuginales; f__Albuginaceae; g__Albugo; s__Albugo hohenheimia/leimonios"
denovo12896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Peronosporales; f__Peronosporaceae; g__Hyaloperonospora; s__Hyaloperonospora praecox"
denovo76992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	11	75	0	25	15	0	0	30	0	0	12	0	41	8	2	3	1	0	0	1	14	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	63	62	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Pythiales; f__Pythiaceae; g__Pythium; s__Pythium monospermum"
