OTU	G.BacV5.11	D.BacV5.17	G.BacV5.15	B.BacV5.10	B.BacV5.9	G.BacV5.12	G.BacV5.13	G.BacV5.16	B.BacV5.2	G.BacV5.14	B.BacV5.1	G.BacV5.18	G.BacV5.19	C.BacV5.20	C.BacV5.19	B.BacV5.20	B.BacV5.3	B.BacV5.19	B.BacV5.18	D.BacV5.19	D.BacV5.18	E.BacV5.11	E.BacV5.15	G.BacV5.17	F.BacV5.20	E.BacV5.13	E.BacV5.14	G.BacV5.20	F.BacV5.16	F.BacV5.18	E.BacV5.12	F.BacV5.19	F.BacV5.17	D.BacV5.20	taxonomy
Species_13666	750.0	70.0	45.0	151.0	1586.0	6.0	217.0	235.0	52.0	4.0	508.0	5.0	12.0	70.0	12.0	713.0	965.0	199.0	94.0	16.0	83.0	64.0	46.0	22.0	4.0	2.0	4.0	5.0	1.0	1.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__viridiflava
Species_1387	19.0	0.0	21.0	29.0	0.0	6.0	65.0	13.0	1.0	2.0	3.0	67.0	2.0	1.0	2.0	0.0	8.0	1.0	1.0	1.0	0.0	0.0	8.0	106.0	3.0	0.0	0.0	223.0	2.0	0.0	5.0	0.0	1.0	1.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae; g__Streptomyces; s__
Species_9363	69.0	0.0	2.0	2.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	6.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales
Species_7816	994.0	0.0	43.0	0.0	0.0	40.0	171.0	64.0	0.0	331.0	0.0	326.0	216.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
Species_14610	122.0	0.0	5.0	0.0	0.0	0.0	10.0	6.0	0.0	2.0	0.0	10.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales
Species_13766	10.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales
Species_5804	4.0	11.0	3.0	101.0	2.0	2.0	0.0	14.0	45.0	20.0	17.0	4.0	3.0	0.0	0.0	5.0	9.0	15.0	39.0	0.0	5.0	2.0	3.0	8.0	93.0	3.0	4.0	15.0	216.0	132.0	7.0	58.0	392.0	2.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__minor
Species_9968	22.0	0.0	13.0	35.0	0.0	11.0	24.0	4.0	0.0	19.0	0.0	37.0	2.0	0.0	3.0	6.0	11.0	0.0	12.0	5.0	0.0	29.0	16.0	23.0	0.0	0.0	0.0	8.0	0.0	0.0	20.0	0.0	0.0	1.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
Species_1259	91.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria
Species_5464	37.0	0.0	27.0	0.0	0.0	19.0	12.0	14.0	0.0	3.0	0.0	255.0	15.0	0.0	3.0	0.0	0.0	0.0	0.0	4.0	0.0	37.0	239.0	34.0	0.0	61.0	42.0	8.0	0.0	0.0	188.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae
