OTU	G.BacV5.11	D.BacV5.17	G.BacV5.15	B.BacV5.10	B.BacV5.9	G.BacV5.12	G.BacV5.13	G.BacV5.16	B.BacV5.2	G.BacV5.14	B.BacV5.1	G.BacV5.18	G.BacV5.19	C.BacV5.20	C.BacV5.19	B.BacV5.20	B.BacV5.3	B.BacV5.19	B.BacV5.18	D.BacV5.19	D.BacV5.18	E.BacV5.11	E.BacV5.15	G.BacV5.17	F.BacV5.20	E.BacV5.13	E.BacV5.14	G.BacV5.20	F.BacV5.16	F.BacV5.18	E.BacV5.12	F.BacV5.19	F.BacV5.17	taxonomy
Species_13666	2.0	8.0	1.0	12.0	109.0	3.0	22.0	19.0	7.0	1.0	55.0	1.0	2.0	32.0	4.0	56.0	87.0	6.0	34.0	2.0	17.0	3.0	2.0	2.0	1.0	1.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__viridiflava
Species_1387	0.0	0.0	2.0	1.0	0.0	2.0	5.0	1.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	11.0	1.0	0.0	0.0	115.0	0.0	0.0	2.0	0.0	1.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae; g__Streptomyces; s__
Species_9363	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales
Species_7816	10.0	0.0	0.0	0.0	0.0	27.0	16.0	6.0	0.0	43.0	0.0	22.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
Species_14610	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales
Species_5804	0.0	1.0	0.0	3.0	0.0	2.0	0.0	2.0	4.0	2.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	21.0	0.0	1.0	0.0	0.0	0.0	21.0	3.0	2.0	7.0	32.0	55.0	6.0	36.0	375.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__minor
Species_9968	0.0	0.0	0.0	5.0	0.0	10.0	1.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	5.0	1.0	0.0	2.0	2.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	11.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
Species_5464	0.0	0.0	1.0	0.0	0.0	17.0	1.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	23.0	5.0	0.0	49.0	7.0	3.0	0.0	0.0	119.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae
Species_2359	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria
Species_4094	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales
