OTU	E.BacV5.4	D.BacV5.8	G.BacV5.3	E.BacV5.5	C.BacV5.9	C.BacV5.10	G.BacV5.8	G.BacV5.6	G.BacV5.7	D.BacV5.7	H.BacV5.5	E.BacV5.1	G.BacV5.1	A.BacV5.6	A.BacV5.19	H.BacV5.6	G.BacV5.10	G.BacV5.5	F.BacV5.10	D.BacV5.9	E.BacV5.2	A.BacV5.10	E.BacV5.3	G.BacV5.2	H.BacV5.7	F.BacV5.8	A.BacV5.18	H.BacV5.8	F.BacV5.6	F.BacV5.7	F.BacV5.9	G.BacV5.9	D.BacV5.10	A.BacV5.9	A.BacV5.8	A.BacV5.7	A.BacV5.20	G.BacV5.4	taxonomy
Species_13666	8.0	155.0	30.0	10.0	1.0	1.0	22.0	5.0	5.0	15.0	1.0	3.0	6.0	1.0	3.0	1.0	1.0	3.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__viridiflava
Species_1387	2.0	20.0	39.0	21.0	0.0	0.0	319.0	56.0	208.0	19.0	0.0	0.0	11.0	0.0	0.0	0.0	149.0	195.0	5.0	17.0	6.0	0.0	10.0	623.0	0.0	0.0	0.0	0.0	14.0	9.0	14.0	73.0	4.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae; g__Streptomyces; s__
Species_9363	0.0	0.0	1.0	2.0	1.0	0.0	3.0	2.0	4.0	1.0	0.0	16.0	17.0	0.0	2.0	0.0	12.0	15.0	15.0	1.0	0.0	1.0	2.0	0.0	0.0	19.0	0.0	0.0	31.0	10.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales
Species_7816	0.0	0.0	38.0	0.0	0.0	0.0	17.0	31.0	15.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	8.0	32.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
Species_14610	0.0	0.0	7.0	4.0	0.0	0.0	5.0	10.0	7.0	1.0	0.0	0.0	3.0	1.0	3.0	0.0	6.0	14.0	1.0	0.0	0.0	1.0	0.0	13.0	0.0	2.0	0.0	0.0	2.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales
Species_13766	0.0	0.0	4.0	0.0	0.0	0.0	3.0	2.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	6.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales
Species_5804	1.0	2.0	4.0	0.0	0.0	0.0	1.0	19.0	3.0	1.0	1.0	0.0	4.0	0.0	0.0	0.0	5.0	0.0	19.0	1.0	4.0	0.0	20.0	4.0	0.0	1.0	0.0	0.0	0.0	5.0	3115.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__minor
Species_9968	16.0	0.0	14.0	61.0	3.0	0.0	38.0	9.0	30.0	1.0	3.0	2.0	2.0	0.0	0.0	11.0	27.0	40.0	6.0	34.0	102.0	0.0	238.0	47.0	17.0	2.0	3.0	20.0	3.0	2.0	20.0	9.0	1.0	1.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
Species_1259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria
Species_5464	457.0	0.0	31.0	938.0	1.0	0.0	106.0	69.0	67.0	1.0	0.0	66.0	6.0	0.0	0.0	0.0	44.0	128.0	0.0	5.0	554.0	0.0	192.0	87.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae
