OTU	G.Otrad.5	G.Otrad.9	G.Otrad.7	E.Otrad.2	H.Otrad.5	E.Otrad.4	E.Otrad.1	D.Otrad.9	C.Otrad.9	D.Otrad.8	D.Otrad.7	D.Otrad.10	G.Otrad.1	G.Otrad.2	A.Otrad.6	F.Otrad.8	E.Otrad.5	F.Otrad.6	A.Otrad.7	F.Otrad.7	A.Otrad.8	G.Otrad.3	H.Otrad.6	H.Otrad.7	H.Otrad.8	A.Otrad.9	E.Otrad.3	A.Otrad.10	C.Otrad.10	A.Otrad.18	A.Otrad.19	G.Otrad.6	F.Otrad.9	F.Otrad.10	taxonomy
Species_1049	54.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Pythiales; f__Pythiaceae; g__Pythium
Species_798	68.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	127.0	3320.0	158.0	405.0	26.0	119.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Pythiales; f__Pythiaceae; g__Pythium; s__Pythium rostratifingens
Species_1000	94.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	643.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Pythiales
Species_438	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	805.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Pythiales; f__Pythiaceae; g__Pythium
Species_116	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Pythiales; f__Pythiaceae; g__Pythium
Species_1372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Pythiales; f__Pythiaceae; g__Pythium
Species_666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Peronosporales; f__Peronosporaceae; g__Peronospora; s__Peronospora knautiae
Species_545	0.0	38.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Pythiales; f__Pythiaceae; g__Pythium; s__Pythium intermedium
Species_717	325.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Peronosporales; f__Phytophthora; g__Phytophthora; s__Phytophthora primulae
Species_1510	917.0	0.0	10.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	k__Chromalveolata; p__Stramenopiles; c__Oomycetes
