"Species_877"	"Species_616"	"Replicate"
"1"	0.000867120955796824	0.00109639268588569	0.00109639268588571
"2"	0.000116311954358932	8.03941541718349e-05	9.28600021909621e-05
"3"	0.00174354471671149	0.0021490432356022	0.0204495012431605
"4"	0.00144623279575538	0.00179476414785349	0.00621438006386944
"5"	1.0504221619745e-06	0.00125308241834771	0.000324207336554952
"6"	0.00394308806933258	0.138310638305298	0.0502759502963323
"7"	0.00259888159991734	0.00318238057199762	0.0159599743927493
"8"	0.00439898700303552	0.00528113074807293	0.0421248658888461
"9"	0.00140547874083863	0.00176152572280715	0.00740195719123575
"10"	0.00164389909157129	0.00664126561590795	0.00139580394742893
"11"	0.018494431017768	0.0210529454526886	0.234234879794709
"12"	0.00107838360954717	0.045293247506015	0.0190167290661512
"13"	0.00100517879120286	0.00955327686400589	0.00163101217979103
"14"	2.32387028682187e-05	3.97853475102999e-05	6.29849198657463e-05
"15"	2.99615621211231e-06	6.78289737035275e-07	5.20890592579323e-07
"16"	3.72326323167728e-05	5.20923795667116e-05	3.84242443403775e-05
"17"	0.00284368495242495	0.00685076690140123	0.00313873463481871
"18"	3.97944997280713e-06	3.42757661114786e-05	3.68625966061402e-05
"19"	4.82041132480306e-05	0.000223609113934745	9.16273178477598e-05
"20"	1.66068897082833e-05	3.61064185344785e-05	2.07797678891668e-05
"21"	1.93502840039973e-06	2.66253137409448e-05	8.94890271329862e-06
"22"	3.91408905388894e-07	4.49553932341779e-07	8.51314940674424e-08
"23"	8.52795679564021e-05	0.000349400177644032	0.000224068090494405
"24"	1.53133854345305e-07	1.53194269638062e-06	1.06223025590315e-07
"25"	1.46095897964493e-05	3.2347326168239e-05	2.92533112921261e-05
"26"	1.65438673323976e-06	1.06539651839077e-05	1.20354083219114e-05
"27"	3.00717444337066e-08	2.84025666665416e-09	8.89898785593566e-09
"28"	7.7293297495676e-07	4.78636252089774e-07	8.07056309018984e-07
"29"	1.28077844585542e-08	1.92742353204291e-10	5.24248645070037e-09
"30"	1.2118288855035e-07	2.97442219410499e-06	2.76274730878978e-06
"31"	0.000218658561340467	0.00150071983098235	0.0010567821064367
"32"	2.06877724168065e-06	2.69829398157299e-05	3.05455280828479e-05
"33"	4.7389241539427e-06	6.8393466397183e-05	6.59110055543795e-05
"34"	3.76157765028684e-06	2.70335994016993e-05	2.28246379536449e-05
"35"	0.00170857460767123	0.219470778743311	0.0865733817392209
"36"	3.95022537439017e-06	3.79176229417839e-05	2.53150906566217e-05
"37"	6.9316849762384e-06	3.50102834544528e-05	2.34809396158265e-05
"38"	9.60031353461427e-12	1.7547621824794e-10	1.0572588407784e-10
"39"	1.42994813534726e-06	1.08154058224009e-06	5.86909065256152e-07
"40"	2.05999938918428e-05	2.07410865311535e-05	1.95888413656386e-05
"41"	7.41160866026362e-07	2.11906004856347e-08	1.1134281152155e-08
"42"	1.79550944593859e-05	0.000204379396568261	0.00012166528937717
"43"	2.60740097167535e-06	1.69110855045428e-05	1.51030925994561e-05
"44"	2.50239130187734e-09	1.41474541657531e-08	1.75880805568899e-08
"45"	1.11715671380702e-06	2.11666688780059e-05	6.77236577132952e-06
"46"	2.85794241883486e-10	1.39556986734507e-08	8.60045215171828e-09
"47"	1.59059598455222e-05	7.863369123539e-06	2.40597065121835e-05
"48"	5.75171236369005e-07	1.06868556849104e-06	1.47218992930081e-06
"49"	3.77067409763021e-06	4.43672521450958e-06	4.62067850926504e-06
"50"	1.23995987970458e-05	2.32676076845161e-05	1.5344610682865e-05
"51"	0.000598262776901447	0.00606257795731029	0.00192721887674033
"52"	1.83588237035795e-07	5.15910289839518e-06	5.2463598095818e-06
"53"	1.01287309331168e-07	3.37200903441226e-06	2.04834579708016e-06
"54"	0.00018909187962534	0.00459183853703084	0.00478903314344282
"55"	1.02285763127616e-10	4.04064011864465e-10	3.75364676056897e-10
"56"	9.91521963484626e-08	1.0325997569281e-06	4.55881411222313e-07
"57"	8.80579232287117e-08	7.24889826251767e-08	2.70305941441371e-08
"58"	1.640346167554e-05	7.7540619537829e-05	5.30213425312124e-05
"59"	0.000150177321860518	0.000141821382684727	4.518477668303e-05
"60"	1.13874480911826e-06	1.06734999059663e-06	6.47684497895955e-07
"61"	1.97580015179899e-05	7.52450325873541e-05	5.6586735438605e-05
"62"	2.87208760134683e-06	1.46878169110623e-06	1.02202222247386e-06
"63"	1.29520662556535e-05	2.31542983971668e-05	1.67021332849076e-05
"64"	0.0154244155197831	0.017675311015147	0.0912605590071628
