"Replicate"
"F.OITS2.41"	"S251"
"A.OITS2.35"	"S3"
"C.OITS2.24"	"S86"
"C.OITS2.29"	"S91"
"C.OITS2.26"	"S88"
"C.OITS2.28"	"S90"
"C.OITS2.27"	"S89"
"A.OITS2.37"	"S5"
"D.OITS2.46"	"S158"
"A.OITS2.36"	"S4"
"A.OITS2.41"	"S9"
"D.OITS2.47"	"S159"
"D.OITS2.42"	"S154"
"D.OITS2.37"	"S149"
"E.OITS2.24"	"S186"
"B.OITS2.35"	"S47"
"F.OITS2.35"	"S245"
"C.OITS2.5"	"S67"
"F.OITS2.47"	"S257"
"F.OITS2.44"	"S254"
"C.OITS2.47"	"S109"
"D.OITS2.45"	"S157"
"B.OITS2.37"	"S49"
"C.OITS2.25"	"S87"
"D.OITS2.29"	"S141"
"E.OITS2.31"	"S193"
"E.OITS2.30"	"S192"
"C.OITS2.44"	"S106"
"C.OITS2.31"	"S93"
"C.OITS2.34"	"S96"
"C.OITS2.32"	"S94"
"C.OITS2.33"	"S95"
"D.OITS2.31"	"S143"
"C.OITS2.35"	"S97"
"D.OITS2.33"	"S145"
"D.OITS2.25"	"S137"
"D.OITS2.30"	"S142"
"D.OITS2.28"	"S140"
"D.OITS2.27"	"S139"
"D.OITS2.23"	"S135"
"D.OITS2.22"	"S134"
"D.OITS2.24"	"S136"
"D.OITS2.21"	"S133"
"D.OITS2.26"	"S138"
"D.OITS2.32"	"S144"
"E.OITS2.45"	"S207"
"E.OITS2.47"	"S209"
"E.OITS2.46"	"S208"
"E.OITS2.37"	"S199"
"C.OITS2.7"	"S69"
"C.OITS2.8"	"S70"
"A.OITS2.42"	"S10"
"E.OITS2.32"	"S194"
"E.OITS2.35"	"S197"
"E.OITS2.23"	"S185"
"D.OITS2.38"	"S150"
"D.OITS2.48"	"S160"
"B.OITS2.42"	"S54"
"D.OITS2.7"	"S119"
"E.OITS2.25"	"S187"
"D.OITS2.49"	"S161"
"D.OITS2.43"	"S155"
"D.OITS2.39"	"S151"
"D.OITS2.44"	"S156"
"D.OITS2.41"	"S153"
"E.OITS2.27"	"S189"
"D.OITS2.40"	"S152"
"F.OITS2.45"	"S255"
"E.OITS2.41"	"S203"
"E.OITS2.26"	"S188"
"E.OITS2.28"	"S190"
"F.OITS2.37"	"S247"
"F.OITS2.46"	"S256"
"F.OITS2.29"	"S239"
"D.OITS2.4"	"S116"
"F.OITS2.42"	"S252"
"F.OITS2.39"	"S249"
"A.OITS2.39"	"S7"
"E.OITS2.33"	"S195"
"D.OITS2.3"	"S115"
"D.OITS2.6"	"S118"
"E.OITS2.39"	"S201"
"A.OITS2.40"	"S8"
"D.OITS2.50"	"S162"
"E.OITS2.21"	"S183"
"E.OITS2.29"	"S191"
"F.OITS2.40"	"S250"
"B.OITS2.32"	"S44"
"F.OITS2.32"	"S242"
"E.OITS2.44"	"S206"
"E.OITS2.22"	"S184"
"E.OITS2.42"	"S204"
"B.OITS2.38"	"S50"
"B.OITS2.30"	"S42"
"C.OITS2.48"	"S110"
"F.OITS2.26"	"S236"
"D.OITS2.5"	"S117"
"E.OITS2.34"	"S196"
"F.OITS2.27"	"S237"
"E.OITS2.43"	"S205"
"F.OITS2.38"	"S248"
"B.OITS2.33"	"S45"
"B.OITS2.40"	"S52"
"F.OITS2.30"	"S240"
"B.OITS2.44"	"S56"
"F.OITS2.22"	"S232"
"B.OITS2.34"	"S46"
"B.OITS2.29"	"S41"
"B.OITS2.39"	"S51"
"F.OITS2.21"	"S231"
"F.OITS2.33"	"S243"
"F.OITS2.43"	"S253"
"E.OITS2.48"	"S210"
"F.OITS2.36"	"S246"
"F.OITS2.34"	"S244"
"F.OITS2.31"	"S241"
