"k__Chromalveolata;p__Stramenopiles;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Hyaloperonospora"	"k__Chromalveolata;p__Stramenopiles;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium"	"k__Chromalveolata;p__Stramenopiles;c__Oomycetes;o__Albuginales;f__Albuginaceae;g__Albugo"	"Replicate"
"D.Otrad.45"	NA	NA	NA	"S157"
"D.Otrad.48"	NA	NA	NA	"S160"
"D.Otrad.49"	NA	NA	NA	"S161"
"D.Otrad.42"	NA	NA	NA	"S154"
"D.Otrad.2"	NA	NA	NA	"S114"
"D.Otrad.16"	NA	NA	NA	"S128"
"D.Otrad.32"	NA	NA	NA	"S144"
"D.Otrad.1"	NA	NA	NA	"S113"
"D.Otrad.43"	NA	NA	NA	"S155"
"D.Otrad.23"	NA	NA	NA	"S135"
"D.Otrad.37"	NA	NA	NA	"S149"
"D.Otrad.12"	NA	NA	NA	"S124"
"D.Otrad.25"	NA	NA	NA	"S137"
"D.Otrad.33"	NA	NA	NA	"S145"
"D.Otrad.15"	NA	NA	NA	"S127"
"D.Otrad.13"	NA	NA	NA	"S125"
"D.Otrad.9"	NA	NA	NA	"S121"
"D.Otrad.31"	NA	NA	NA	"S143"
"D.Otrad.29"	NA	NA	NA	"S141"
"D.Otrad.26"	NA	NA	NA	"S138"
"D.Otrad.50"	NA	NA	NA	"S162"
"D.Otrad.14"	NA	NA	NA	"S126"
"D.Otrad.8"	NA	NA	NA	"S120"
"D.Otrad.10"	NA	NA	NA	"S122"
"D.Otrad.3"	NA	NA	NA	"S115"
"D.Otrad.44"	NA	NA	NA	"S156"
"D.Otrad.17"	NA	NA	NA	"S129"
"D.Otrad.7"	NA	NA	NA	"S119"
"D.Otrad.40"	NA	NA	NA	"S152"
"D.Otrad.28"	NA	NA	NA	"S140"
"D.Otrad.4"	NA	NA	NA	"S116"
"D.Otrad.24"	NA	NA	NA	"S136"
"D.Otrad.5"	NA	NA	NA	"S117"
"D.Otrad.22"	NA	NA	NA	"S134"
"D.Otrad.21"	NA	NA	NA	"S133"
"D.Otrad.47"	NA	NA	NA	"S159"
"D.Otrad.11"	NA	NA	NA	"S123"
"D.Otrad.46"	NA	NA	NA	"S158"
"D.Otrad.27"	NA	NA	NA	"S139"
"D.Otrad.38"	NA	NA	NA	"S150"
"D.Otrad.39"	NA	NA	NA	"S151"
"D.Otrad.19"	NA	NA	NA	"S131"
"D.Otrad.20"	NA	NA	NA	"S132"
"D.Otrad.30"	NA	NA	NA	"S142"
"D.Otrad.41"	NA	NA	NA	"S153"
"D.Otrad.6"	NA	NA	NA	"S118"
"C.Otrad.8"	NA	NA	NA	"S70"
"C.Otrad.47"	NA	NA	NA	"S109"
"E.Otrad.11"	NA	NA	NA	"S173"
"C.Otrad.48"	NA	NA	NA	"S110"
"C.Otrad.3"	NA	NA	NA	"S65"
"C.Otrad.25"	NA	NA	NA	"S87"
"C.Otrad.27"	NA	NA	NA	"S89"
"C.Otrad.28"	NA	NA	NA	"S90"
"E.Otrad.44"	NA	NA	NA	"S206"
"C.Otrad.17"	NA	NA	NA	"S79"
"E.Otrad.18"	NA	NA	NA	"S180"
"B.Otrad.32"	NA	NA	NA	"S44"
"E.Otrad.2"	NA	NA	NA	"S164"
"E.Otrad.4"	NA	NA	NA	"S166"
"C.Otrad.31"	NA	NA	NA	"S93"
"F.Otrad.21"	NA	NA	NA	"S231"
"F.Otrad.38"	NA	NA	NA	"S248"
"F.Otrad.34"	NA	NA	NA	"S244"
"F.Otrad.6"	NA	NA	NA	"S216"
"F.Otrad.45"	NA	NA	NA	"S255"
"F.Otrad.27"	NA	NA	NA	"S237"
"F.Otrad.5"	NA	NA	NA	"S215"
"F.Otrad.8"	NA	NA	NA	"S218"
"F.Otrad.15"	NA	NA	NA	"S225"
"F.Otrad.22"	NA	NA	NA	"S232"
"F.Otrad.28"	NA	NA	NA	"S238"
"F.Otrad.36"	NA	NA	NA	"S246"
"F.Otrad.37"	NA	NA	NA	"S247"
"F.Otrad.31"	NA	NA	NA	"S241"
"F.Otrad.25"	NA	NA	NA	"S235"
"F.Otrad.44"	NA	NA	NA	"S254"
"F.Otrad.32"	NA	NA	NA	"S242"
