"Species_9773"	"Species_1387"	"Species_7126"	"Species_4564"	"Species_5461"	"Species_5463"	"Species_5432"	"Species_2706"	"Species_11775"	"Species_6077"	"Species_7566"	"Species_11524"	"Species_9824"	"Species_2990"	"Species_2091"	"Species_12953"	"Species_8080"	"Species_2510"	"Species_12654"	"Species_9147"	"Species_3002"	"Species_10060"	"Species_5419"	"Species_2853"	"Species_5115"	"Species_564"	"Species_5452"	"Species_10932"	"Species_7862"	"Species_11643"	"Species_6940"	"Species_5446"	"Species_2954"	"Species_16033"	"Species_8584"	"Species_5459"	"Species_2855"	"Species_5918"	"Species_1889"	"Species_9918"	"Species_16857"	"Species_1501"	"Species_7375"	"Species_12090"	"Species_3058"	"Species_7161"	"Species_8208"	"Species_11569"	"Species_3569"	"Species_5271"	"Species_3303"	"Species_9831"	"Species_9967"	"Species_10667"	"Species_6166"	"Species_13709"	"Species_7239"	"Replicate"
"G.BacV5.11"	19	0	32	2	0	5	6	3	6	80	24	0	10	2	0	4	8	10	372	55	4	9	11	950	8	160	10	9	6	33	50	10	23	2	1	73	28	2	4	75	280	48	6	8	1	30	16	85	5	82	6	8	595	17	404	5	1591	"F_1"
"D.BacV5.17"	0	0	5	0	1	1	1	0	0	27	0	1	1	1	1	0	0	0	12	182	3	0	0	1	0	1	0	0	0	0	17	0	0	0	0	0	0	0	6	1	2821	1	0	0	0	2	19	52	0	6	0	0	433	5	2	0	109	"S_S3"
"G.BacV5.15"	55	2	3	0	0	4	15	1	19	21	31	0	7	1	0	6	14	11	367	19	5	14	12	1134	13	196	12	14	2	23	15	5	12	11	0	161	35	0	1	117	53	68	17	5	1	15	4	14	6	58	5	1	214	10	119	56	3021	"F_5"
"B.BacV5.10"	1	1	3	0	0	15	11	4	0	60	0	3	5	0	0	1	1	1	57	629	15	0	0	0	1	1	0	0	0	0	22	0	0	1	2	1	0	11	0	2	1093	2	0	5	0	2	54	87	3	374	3	0	1614	20	4	0	18	"10_S5"
"B.BacV5.9"	0	0	0	0	1	1	0	0	0	11	0	0	0	0	0	0	0	1	101	0	0	0	0	0	1	7	0	0	0	0	0	1	0	0	0	1	0	0	0	0	390	0	0	0	0	13	9	2	0	3	0	0	4080	2	0	0	23	"10_S4"
"G.BacV5.12"	105	2	41	0	3	207	30	8	2	106	8	5	83	29	19	18	11	8	93	296	26	4	9	134	5	50	9	7	10	25	74	10	12	4	14	19	16	3	12	9	34	3	3	22	14	29	20	88	4	292	121	12	1122	407	149	6	962	"F_2"
"G.BacV5.13"	159	5	28	6	4	108	31	7	3	79	5	5	54	2	3	3	5	2	176	150	17	3	3	1044	2	54	21	6	8	11	27	30	13	14	5	77	23	7	13	59	291	28	7	11	3	42	30	117	1	125	15	3	1005	34	226	3	581	"F_3"
"G.BacV5.16"	143	1	34	4	4	33	17	6	4	157	2	5	32	12	9	33	12	7	96	260	21	4	7	386	7	81	4	3	3	13	35	17	13	15	4	42	12	26	8	29	380	20	2	3	0	40	7	19	3	266	14	4	1478	33	28	1	1317	"F_6"
"B.BacV5.2"	0	0	4	0	3	3	7	1	0	75	2	0	5	1	0	0	0	3	561	554	33	0	0	3	0	12	0	0	0	1	25	0	0	0	0	10	0	0	2	10	909	15	0	14	9	3	63	148	1	296	1	2	1755	8	0	0	135	"10_S2"
"G.BacV5.14"	1	0	44	177	0	10	1	2	0	310	0	13	60	35	23	66	19	0	31	416	39	0	0	200	0	2	0	12	19	16	117	48	1	2	0	7	1	1	0	3	15	0	0	23	13	22	7	37	4	650	50	3	2806	241	1	2	22	"F_4"
