"Species_16840"	"Species_6423"	"Species_11279"	"Species_15656"	"Species_224"	"Species_890"	"Species_8584"	"Species_2171"	"Species_2706"	"Species_3569"	"Species_10357"	"Species_8758"	"Species_12424"	"Species_16870"	"Species_7178"	"Species_6764"	"Species_10406"	"Species_758"	"Species_1065"	"Species_686"	"Species_888"	"Species_11077"	"Species_9926"	"Species_9940"	"Species_5943"	"Species_11435"	"Species_9968"	"Species_1579"	"Species_4587"	"Species_11524"	"Species_2650"	"Species_12996"	"Species_6746"	"Species_7566"	"Species_3837"	"Species_17261"	"Species_5888"	"Species_16644"	"Species_2990"	"Species_8795"	"Species_15155"	"Species_1609"	"Species_5995"	"Species_4632"	"Species_9967"	"Species_16844"	"Species_6052"	"Species_11072"	"Species_7465"	"Species_10003"	"Species_5460"	"Species_7108"	"Species_2502"	"Species_13142"	"Species_16428"	"Species_1999"	"Species_17222"	"Species_14493"	"Species_4225"	"Species_5087"	"Species_10269"	"Species_9824"	"Species_11120"	"Species_12688"	"Species_10370"	"Species_8200"	"Species_5455"	"Species_11116"	"Species_2954"	"Species_5919"	"Species_11789"	"Species_8753"	"Species_2014"	"Species_5461"	"Species_4801"	"Species_5463"	"Species_7279"	"Species_4141"	"Species_13392"	"Species_17204"	"Species_6003"	"Species_7314"	"Species_1889"	"Species_9773"	"Species_5889"	"Species_3921"	"Species_3058"	"Species_17171"	"Species_5271"	"Species_16177"	"Species_5918"	"Species_3303"	"Species_6077"	"Species_2636"	"Species_8735"	"Species_5452"	"Species_2742"	"Species_3830"	"Species_6940"	"Species_8943"	"Species_10369"	"Species_11643"	"Species_12787"	"Species_1012"	"Species_8208"	"Species_1864"	"Species_3002"	"Species_3773"	"Species_3008"	"Species_1028"	"Species_11569"	"Species_1385"	"Species_5891"	"Species_5446"	"Species_12090"	"Species_8532"	"Species_10009"	"Species_5898"	"Species_8800"	"Species_4835"	"Species_8935"	"Species_9333"	"Species_10932"	"Species_5432"	"Species_5930"	"Species_15894"	"Species_12388"	"Species_1577"	"Species_6432"	"Species_2532"	"Species_1387"	"Species_3009"	"Species_7228"	"Species_10667"	"Species_16152"	"Species_451"	"Species_4854"	"Species_10046"	"Species_15457"	"Species_8522"	"Species_1316"	"Species_11125"	"Species_11885"	"Species_11523"	"Species_7126"	"Species_2510"	"Species_5552"	"Species_8737"	"Species_9147"	"Species_6341"	"Species_2770"	"Species_15925"	"Species_6356"	"Species_4220"	"Species_7001"	"Species_8080"	"Species_15157"	"Species_5451"	"Species_9734"	"Species_4876"	"Species_8688"	"Species_17226"	"Species_390"	"Species_7375"	"Species_524"	"Species_6166"	"Species_2446"	"Species_1617"	"Species_5426"	"Species_1608"	"Species_8804"	"Species_11974"	"Species_2853"	"Species_564"	"Species_1501"	"Species_6995"	"Species_17005"	"Species_2619"	"Species_1591"	"Species_13930"	"Species_8596"	"Species_5879"	"Species_3828"	"Species_10936"	"Species_11324"	"Species_8327"	"Species_9195"	"Species_4221"	"Species_8696"	"Species_1411"	"Species_13131"	"Species_5459"	"Species_13709"	"Species_5453"	"Species_5425"	"Species_5577"	"Species_2533"	"Species_7239"	"Species_14707"	"Species_14656"	"Species_2091"	"Species_8806"	"Species_6066"	"Species_9951"	"Species_9918"	"Species_7161"	"Species_3007"	"Species_2855"	"Species_3067"	"Species_5464"	"Species_1384"	"Species_9831"	"Species_4561"	"Species_14436"	"Species_6045"	"Species_15152"	"Species_8781"	"Species_2833"	"Replicate"
"E.BacV5.4"	2	0	1	0	0	3	1	0	2	1	1	2	24	0	14	36	0	1	0	12	35	36	14	53	6	1	2	16	9	21	17	3	2	0	0	58	1	0	1	3	0	0	0	5	3737	7	0	1	7	1	5	0	0	0	0	0	0	6	0	6	4	11	2	156	19	1	9	1	0	0	4	2	1	6	1	25	1	0	1	0	0	12	6	9	8	6	10	30	154	16	1	1	97	6	3	2	0	0	25	0	9	0	0	0	17	0	16	27	1	0	64	0	5	12	9	3	1	3	2	0	1	1	0	2	4	0	0	1	0	156	1	1	34	5	1	0	1	0	0	0	0	2	0	0	15	12	1	0	1504	3	4	0	7	7	2	2	0	1	89	2	145	1	347	0	33	93	0	0	0	0	11	7	34	125	5	10	2	1123	1	2	65	4	6	26	1	0	0	1	19	1	0	11	0	4	1	6	0	134	0	0	6	4	0	10	1	0	1	1	0	64	0	0	2	4	1	0	0	1	"S_S15"
"D.BacV5.8"	0	0	2	0	0	0	0	0	0	0	2	3	0	3	0	0	0	0	0	0	1	1	1	1	0	50	0	2	0	0	1	0	0	0	1	0	0	0	0	3	1	0	0	1	432	17	0	0	13	0	1	1	0	0	1	0	0	646	0	2	1	0	0	23	29	0	3	0	0	0	1	0	0	1	0	1	1	0	6	0	1	5	0	0	1	0	0	246	3	0	0	0	24	1	0	0	0	0	8	0	0	0	0	1	10	0	2	5	0	0	57	0	0	2	1	2	0	0	0	0	1	0	0	0	0	3	0	2	0	65	3	1	7	4	0	0	0	0	0	0	2	2	0	0	0	0	0	0	145	0	2	0	0	0	0	0	0	0	8	2	2	9	15	0	0	19	0	0	0	1	12	2	1	3	0	2	1	270	0	2	3	1	1	7	0	0	4	3	0	0	0	0	0	3	0	0	0	94	0	0	0	0	2	46	0	1	0	0	9	0	0	0	0	0	0	0	0	0	"S_S4"
"G.BacV5.3"	5	3	18	49	14	12	14	19	16	8	5	2	0	903	0	2	0	0	11	1	3	13	14	4	3	10	5	7	3	13	1	3	5	18	2	6	3	3	19	4	6	3	19	3	1258	78	10	2	222	4	48	4	7	2	4	3	7	65	0	14	4	36	3	20	56	10	24	1	28	3	12	0	4	20	6	351	10	9	12	1	3	45	14	105	24	38	9	11	123	5	17	9	244	8	4	19	14	3	105	3	3	29	19	9	244	4	47	176	5	3	615	18	2	51	1	1	0	17	9	7	5	32	3	37	11	20	5	38	4	35	12	8	1	65	3	11	1	10	6	3	5	2	5	1	80	10	4	3	384	1	31	3	4	0	9	11	8	13	45	10	12	36	137	8	10	745	11	1	8	4	16	5	347	79	20	18	14	421	4	0	0	6	17	30	4	6	9	3	87	3	14	63	7	25	19	38	1	842	22	21	15	10	3	13	26	66	4	19	45	5	9	13	3	7	55	22	19	24	"F_3"
"E.BacV5.5"	0	1	4	5	7	4	4	0	0	1	0	4	0	0	0	14	128	34	0	3	107	67	99	39	20	0	12	9	2	4	5	2	0	0	0	1229	0	0	3	13	0	0	0	2	1377	30	2	4	31	6	33	14	1	0	7	0	3	813	0	6	5	5	3	78	15	11	25	3	1	1	2	0	5	1	1	10	0	10	1	0	1	33	2	33	3	3	1	0	39	5	0	1	39	2	0	2	1	0	21	0	0	2	0	3	48	1	16	129	2	0	97	0	5	29	3	2	1	1	1	2	5	1	0	1	0	2	0	8	0	1336	3	0	0	4	0	0	0	1	0	3	0	0	0	0	0	1	0	0	983	3	27	1	0	3	3	2	10	0	48	1	0	56	97	1	14	74	0	1	0	0	53	13	17	32	4	10	0	2176	11	4	44	1	5	19	0	0	2	1	1	0	0	7	0	6	1	2	0	36	0	0	2	9	0	7	0	0	2	1	1	109	0	1	0	1	0	1	0	0	"S_S18"
"G.BacV5.8"	5	4	62	13	4	11	53	5	11	10	5	2	0	59	8	1	0	3	249	6	11	17	29	5	0	11	5	6	3	33	15	4	10	7	3	0	7	12	13	3	3	12	14	8	880	174	11	7	241	17	33	20	5	0	2	10	0	3	0	22	7	21	2	20	34	20	46	2	17	1	11	3	18	57	16	218	1	7	2	0	0	10	29	36	89	12	4	0	128	5	36	6	219	6	2	14	33	3	131	8	6	24	23	6	243	2	29	251	8	6	1706	19	2	37	4	5	10	11	4	10	12	22	10	26	15	26	5	25	10	28	54	7	12	58	14	9	1	26	4	8	7	3	6	7	64	8	3	235	475	4	121	13	4	2	4	7	2	6	25	9	18	1	93	3	28	483	14	3	11	10	16	15	330	78	20	27	8	448	9	9	0	0	6	12	6	5	1	0	18	5	6	54	3	28	7	27	8	953	22	13	12	12	26	26	17	57	9	20	6	19	14	14	12	26	30	6	5	13	"F_8"
"G.BacV5.6"	5	8	48	13	3	11	25	18	7	11	4	13	1	216	4	3	0	2	95	2	11	22	14	12	1	5	1	17	10	42	3	9	2	16	8	0	11	7	32	2	0	1	6	16	1055	102	6	6	250	6	103	10	2	0	9	8	0	5	0	13	4	39	4	14	56	10	42	5	24	3	9	3	10	33	8	264	1	1	6	0	1	80	65	107	155	45	5	0	96	3	23	7	294	17	3	21	28	4	137	5	5	43	16	12	232	1	20	181	8	11	559	9	3	66	13	5	9	23	6	3	21	50	10	37	22	19	3	19	3	30	12	12	21	78	2	16	27	1	2	1	13	2	5	10	171	3	8	10	505	1	40	4	5	0	2	17	7	20	23	1	34	3	253	1	19	980	24	4	14	3	20	12	185	62	16	10	8	521	4	3	0	9	14	17	2	1	1	0	46	1	10	63	12	20	23	52	8	733	19	9	34	11	14	18	20	103	6	28	106	15	12	24	18	36	28	14	3	41	"F_6"
"G.BacV5.7"	7	9	46	37	3	6	33	6	13	34	4	3	0	206	9	1	0	9	93	1	13	13	23	8	0	2	4	3	6	19	8	5	7	11	2	27	9	4	3	9	11	6	24	15	672	200	9	13	209	21	23	15	1	0	8	0	0	3	0	11	10	47	5	22	35	18	43	1	23	8	9	5	19	15	48	239	5	6	8	0	1	15	15	78	77	5	7	0	101	8	24	28	162	14	6	25	20	5	87	3	9	35	14	16	278	1	22	156	11	6	744	24	6	51	14	6	20	26	5	22	18	46	6	53	26	22	3	26	13	36	39	7	24	168	6	10	20	5	17	6	7	2	6	12	73	4	0	74	396	7	167	2	8	0	7	12	19	9	9	22	34	0	226	5	14	938	2	14	6	3	24	13	768	84	36	20	39	578	5	9	0	12	11	7	5	5	0	0	50	8	10	113	15	28	14	118	9	786	13	10	6	16	14	15	82	72	8	28	12	13	18	10	47	9	45	3	7	6	"F_7"
"D.BacV5.7"	0	0	2	3	1	0	2	0	0	0	1	8	0	0	0	0	17	4	1	1	7	14	31	10	0	61	0	0	0	3	2	2	1	6	1	10	0	0	7	4	0	0	0	4	1389	44	0	4	19	1	9	2	0	1	0	9	2	934	0	4	3	11	3	105	27	1	8	1	1	0	1	0	0	3	0	7	7	1	10	0	0	36	3	0	6	4	0	383	26	0	1	0	68	0	0	0	1	1	46	3	3	1	7	1	35	1	5	24	0	0	161	1	0	4	1	1	1	0	5	3	0	0	0	4	2	4	1	3	0	115	4	1	34	18	0	1	2	1	6	1	0	5	0	0	10	2	0	0	575	6	2	0	2	0	0	1	0	0	58	7	8	23	31	0	5	56	0	0	0	0	37	5	3	8	0	6	1	736	8	12	26	3	0	38	0	0	18	7	0	0	0	4	0	28	0	1	5	469	0	0	3	1	0	80	1	0	1	0	19	0	0	0	0	0	0	0	0	0	"S_S3"
"E.BacV5.1"	1	0	0	0	5	2	0	0	0	1	0	1	0	0	0	3	5	0	0	0	2	16	5	54	21	0	0	3	1	1	1	2	0	0	3	233	0	0	0	39	0	0	2	0	4763	10	0	0	6	1	9	14	0	15	0	0	4	1359	3	1	0	1	0	50	3	2	3	3	0	0	0	1	0	0	0	4	0	3	0	1	0	21	4	6	4	2	0	90	131	11	0	0	50	0	0	0	0	2	11	0	2	0	0	1	62	6	10	62	0	2	138	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	3	1	230	0	0	0	2	0	0	0	0	3	0	1	3	1	0	1	5	1	0	905	0	0	0	0	4	0	2	1	0	570	0	0	153	7	0	12	20	0	0	0	0	53	5	13	94	3	23	5	2158	0	0	7	4	0	5	0	0	23	56	0	0	0	3	1	3	0	0	0	81	1	0	4	15	0	3	2	0	0	0	0	8	0	0	0	0	0	0	0	0	"10_S9"
"G.BacV5.1"	8	1	23	2	5	17	3	7	4	15	10	1	0	285	7	1	0	2	2	2	7	3	9	2	1	2	2	3	0	3	5	7	4	41	1	3	4	0	12	1	0	0	0	23	1197	43	0	7	28	2	1	3	1	4	2	0	2	29	1	14	0	34	3	11	22	3	3	5	42	14	8	4	0	5	4	121	9	3	34	1	1	20	25	155	30	10	5	33	165	6	12	15	210	8	3	12	8	1	73	8	2	33	2	3	202	4	30	191	6	2	455	1	5	54	5	4	1	14	2	3	3	33	4	53	5	4	1	0	3	41	8	3	5	90	1	1	1	4	2	2	4	9	8	1	89	15	6	11	191	3	14	4	9	1	10	18	3	6	104	6	153	35	390	17	17	1367	2	0	3	5	6	17	457	159	36	15	44	258	0	0	0	9	16	9	5	15	10	5	84	14	17	89	22	47	5	32	6	1729	6	6	1	6	1	17	34	153	0	35	1	5	15	31	24	5	21	1	11	11	"F_1"
