"Species_1325"	"Species_1075"	"Species_2055"	"Species_1991"	"Species_920"	"Species_1725"	"Species_863"	"Species_135"	"Species_1531"	"Species_615"	"Species_925"	"Species_1951"	"Species_2803"	"Species_382"	"Species_672"	"Species_1553"	"Species_546"	"Species_1309"	"Species_1683"	"Species_1903"	"Species_610"	"Species_893"	"Species_1497"	"Replicate"
"G.FITS2.10"	66	0	4	726	11	263	10	433	7	8	3	2	0	7	3	2	1	3	3	4	13	0	0	"F_10"
"A.FITS2.9"	0	3	4	3	0	42	0	3201	12	1	75	0	0	55	296	63	9	0	725	0	0	90	754	"10_S4"
"A.FITS2.10"	0	0	2	1	0	38	0	3358	9	1	370	6	0	364	12	2	16	0	15	0	0	10	803	"10_S5"
"A.FITS2.18"	0	0	1	1	1	32	0	2744	7	0	657	1	0	122	12	18	18	0	9	0	0	30	1289	"10_S6"
"G.FITS2.7"	0	0	0	37	9	4563	16	255	9	19	0	0	17	0	0	0	0	7	0	59	5	0	0	"F_7"
"E.FITS2.3"	13	17	0	3	4	4	0	130	0	2	48	0	0	0	313	1372	1	0	5	66	0	20	842	"S_S14"
"G.FITS2.8"	39	0	0	77	32	2210	11	1182	23	10	4	0	17	0	3	11	2	1	20	0	11	0	1	"F_8"
"F.FITS2.7"	0	0	2	0	0	97	2	1343	20	0	621	3	0	164	198	637	4	0	108	0	0	66	685	"10_S3"
"C.FITS2.9"	0	0	0	0	0	361	0	204	0	5	165	0	91	0	44	104	0	0	37	5	0	6	4	"S_S1"
"G.FITS2.9"	46	5	12	2	61	63	3	2970	127	1	0	0	43	0	0	5	0	19	1	51	19	0	2	"F_9"
"G.FITS2.5"	20	0	1	30	3	488	19	937	31	32	0	3	80	8	0	3	0	5	1	172	18	1	2	"F_5"
"G.FITS2.1"	0	0	0	2	1	4	2	996	42	11	0	0	78	0	0	0	0	4	0	34	1	0	0	"F_1"
"A.FITS2.6"	0	0	0	0	0	25	2	1532	7	0	277	2	0	137	335	15	18	0	30	0	0	121	1181	"10_S1"
"F.FITS2.10"	0	0	0	6	3	43	0	730	4	0	623	53	0	1431	218	487	4	0	118	0	1	15	570	"5_S8"
"G.FITS2.2"	66	0	8	0	4	448	2	1172	30	2	8	2	55	18	2	4	0	4	14	56	22	0	0	"F_2"
"G.FITS2.3"	13	0	3	28	6	498	14	1510	43	9	1	0	32	0	0	1	0	4	3	1	3	2	1	"F_3"
"E.FITS2.2"	24	77	23	7	11	37	7	76	0	5	118	0	3	0	79	78	0	0	0	60	0	15	172	"S_S12"
"G.FITS2.6"	21	0	0	38	16	491	23	906	33	14	13	0	32	2	1	0	0	8	0	2	0	0	4	"F_6"
"H.FITS2.6"	0	0	2	2	0	65	0	347	0	1	1	0	4	2	0	142	1	0	15	0	0	36	74	"S_S4"
"D.FITS2.7"	0	0	3	1	0	140	0	556	0	2	50	0	42	4	87	85	0	0	1	3	1	10	17	"S_S3"
"D.FITS2.10"	4	6	4	1	31	40	25	820	0	0	217	0	22	4	84	103	0	0	9	59	2	47	34	"S_S9"
"D.FITS2.9"	0	0	1	4	4	30	1	377	0	4	871	1	2	37	400	19	1	0	0	10	1	3	11	"S_S8"
"E.FITS2.4"	15	45	11	1	0	19	3	112	0	0	101	0	4	9	112	918	1	0	1	224	7	32	1230	"S_S15"
"F.FITS2.6"	0	0	2	2	3	24	0	2418	23	2	1105	40	1	1376	90	48	4	0	41	0	0	32	133	"10_S2"
"F.FITS2.8"	0	0	0	1	0	34	0	1823	10	1	297	5	0	167	208	879	4	0	273	0	0	13	502	"10_S8"
"E.FITS2.5"	1	8	7	3	1	52	8	124	0	2	1911	23	0	234	45	172	2	0	0	0	0	23	991	"S_S18"
"E.FITS2.1"	0	0	1	0	0	3	0	1579	0	0	730	15	0	486	3	777	0	0	77	0	0	16	1922	"10_S9"
"F.FITS2.9"	0	0	0	0	0	64	0	1473	11	0	24	3	0	138	9	0	0	0	30	0	0	0	6	"5_S7"
"A.FITS2.19"	0	1	0	2	1	5	0	929	3	0	628	2	0	88	5	107	2	0	575	0	0	25	412	"10_S7"
"C.FITS2.10"	0	0	0	0	0	0	0	154	0	8	0	0	121	0	51	726	0	1	0	0	0	57	0	"S_S2"
