"x"	"y"	"GroupsVector"	"LostEdges"	"Degree"	"BetweennessCentrality"	"ClosenessCentrality"	"EigenvectorCentrality"	"NeighborhoodConnectivity"
"BacV5Endo_Original"	10.2128614385304	-1.45426108811674	"Original"	226	NA	NA	NA	NA	NA
"BacV5Endo_Species_9773"	-3.894914382593	3.00571749099855	"BacV5Endo"	2838	9	0.00966455	0.38403042	0.0150878522545099	71.33333333
"BacV5Endo_Species_1387"	6.25638643011501	-1.5393150958156	"BacV5Endo"	1972	1	0	0.29532164	0.000861640553921461	53
"BacV5Endo_Species_7126"	-6.67061268810932	1.77133689223392	"BacV5Endo"	2917	17	0.00020204	0.4002642	0.031071474775672	71.05882353
"BacV5Endo_Species_4564"	10.3223042607618	-0.244951018663762	"BacV5Endo"	627	1	0	0.22020349	4.41312568000285e-06	9
"BacV5Endo_Species_5461"	9.29751838801165	-1.19034681481805	"BacV5Endo"	1067	1	0	0.29532164	0.000861640553921461	53
"BacV5Endo_Species_5463"	3.51244423396279	-0.272480779202892	"BacV5Endo"	2241	1	0	0.29417476	0.00103121495340019	30
"BacV5Endo_Species_5432"	0.744247115678848	-0.755688354131439	"BacV5Endo"	2461	21	0.00306616	0.38017566	0.0314913615584373	54.66666667
"BacV5Endo_Species_2706"	-5.00073255984659	-0.728102605222715	"BacV5Endo"	2846	50	0.02062104	0.44040698	0.0773516967892647	55.94
"BacV5Endo_Species_11775"	-0.222830021198217	-0.186007541266958	"BacV5Endo"	2460	2	0	0.33779264	0.0030072620138526	66
"BacV5Endo_Species_6077"	5.05102152218825	-4.12509286430189	"BacV5Endo"	2000	7	0.00178439	0.36771845	0.00867313891649246	48.71428571
"BacV5Endo_Species_7566"	3.71288102833221	-0.569462960834964	"BacV5Endo"	2018	2	0	0.33779264	0.0030072620138526	66
"BacV5Endo_Species_11524"	4.80098488900345	-0.597580169099666	"BacV5Endo"	2216	2	2.975e-05	0.32792208	0.0023069167509675	50.5
"BacV5Endo_Species_9824"	-8.04046519372862	2.58032021991803	"BacV5Endo"	2953	48	0.01578983	0.44233577	0.0831147730350494	63.1875
